"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000274752.1","TRBV12-3",1,1,0,1,1,7512,"Not_Significant",0
"ENSG00000211734.3","TRBV5-1",1,1,0,1,1,7513,"Not_Significant",0
"ENSG00000234147.1","AL035446.1",1,1,0,1,1,7514,"Not_Significant",0
"ENSG00000096996.16","IL12RB1",1,1,0,1,1,7515,"Not_Significant",0
"ENSG00000221184.1","AL513534.1",1,1,0,1,1,7516,"Not_Significant",0
"ENSG00000254585.5","MAGEL2",1,1,0,1,1,7517,"Not_Significant",0
"ENSG00000253476.1","AC091185.1",1,1,0,1,1,7518,"Not_Significant",0
"ENSG00000225756.1","DBH-AS1",2,1,1,1,1,7519,"Not_Significant",0
"ENSG00000254756.1","AP001107.6",1,1,0,1,1,7520,"Not_Significant",0
"ENSG00000038295.8","TLL1",3,1,2,1,1,7521,"Not_Significant",0
"ENSG00000181381.14","DDX60L",1,1,0,1,1,7522,"Not_Significant",0
"ENSG00000211724.3","TRBV6-6",1,1,0,1,1,7523,"Not_Significant",0
"ENSG00000232656.8","IDI2-AS1",1,1,0,1,1,7524,"Not_Significant",0
"ENSG00000275385.2","CCL18",1,1,0,1,1,7525,"Not_Significant",0
"ENSG00000256967.1","AC018653.3",2,1,1,1,1,7526,"Not_Significant",0
"ENSG00000261997.1","AC007336.1",2,1,1,1,1,7527,"Not_Significant",0
"ENSG00000164483.17","SAMD3",1,1,0,1,1,7528,"Not_Significant",0
"ENSG00000229961.3","AL357143.1",1,1,0,1,1,7529,"Not_Significant",0
"ENSG00000170961.7","HAS2",1,1,0,1,1,7530,"Not_Significant",0
"ENSG00000152495.11","CAMK4",1,1,0,1,1,7531,"Not_Significant",0
"ENSG00000136514.3","RTP4",1,1,0,1,1,7532,"Not_Significant",0
"ENSG00000140968.11","IRF8",1,1,0,1,1,7533,"Not_Significant",0
"ENSG00000049323.16","LTBP1",1,1,0,1,1,7534,"Not_Significant",0
"ENSG00000228915.3","OR7E128P",1,1,0,1,1,7535,"Not_Significant",0
"ENSG00000286940.1","MICB-DT",1,1,0,1,1,7536,"Not_Significant",0
"ENSG00000179406.8","LINC00174",1,1,0,1,1,7537,"Not_Significant",0
"ENSG00000137474.22","MYO7A",1,1,0,1,1,7538,"Not_Significant",0
"ENSG00000180644.8","PRF1",1,1,0,1,1,7539,"Not_Significant",0
"ENSG00000011590.14","ZBTB32",1,1,0,1,1,7540,"Not_Significant",0
"ENSG00000273343.1","AC007663.4",1,1,0,1,1,7541,"Not_Significant",0
"ENSG00000165521.15","EML5",1,1,0,1,1,7542,"Not_Significant",0
"ENSG00000080573.7","COL5A3",2,1,1,1,1,7543,"Not_Significant",0
"ENSG00000146006.8","LRRTM2",2,1,1,1,1,7544,"Not_Significant",0
"ENSG00000256633.1","PDE2A-AS2",1,1,0,1,1,7545,"Not_Significant",0
"ENSG00000065308.5","TRAM2",1,1,0,1,1,7546,"Not_Significant",0
"ENSG00000153707.17","PTPRD",1,1,0,1,1,7547,"Not_Significant",0
"ENSG00000254503.1","AC010319.1",1,1,0,1,1,7548,"Not_Significant",0
"ENSG00000211592.8","IGKC",1,1,0,1,1,7549,"Not_Significant",0
"ENSG00000211795.3","TRAV8-6",1,1,0,1,1,7550,"Not_Significant",0
"ENSG00000211810.3","TRAV29DV5",1,1,0,1,1,7551,"Not_Significant",0
"ENSG00000231870.4","KRT17P3",1,1,0,1,1,7552,"Not_Significant",0
"ENSG00000183486.13","MX2",1,1,0,1,1,7553,"Not_Significant",0
"ENSG00000115232.14","ITGA4",1,1,0,1,1,7554,"Not_Significant",0
"ENSG00000188933.16","USP32P1",1,1,0,1,1,7555,"Not_Significant",0
"ENSG00000144488.15","ESPNL",1,1,0,1,1,7556,"Not_Significant",0
"ENSG00000233355.7","CHRM3-AS2",1,1,0,1,1,7557,"Not_Significant",0
"ENSG00000088827.12","SIGLEC1",1,1,0,1,1,7558,"Not_Significant",0
"ENSG00000249502.3","AC006160.1",1,1,0,1,1,7559,"Not_Significant",0
"ENSG00000189430.13","NCR1",1,1,0,1,1,7560,"Not_Significant",0
"ENSG00000258018.2","LINC02457",1,1,0,1,1,7561,"Not_Significant",0
"ENSG00000266302.6","AC098850.3",1,1,0,1,1,7562,"Not_Significant",0
"ENSG00000205436.7","EXOC3L4",2,1,1,1,1,7563,"Not_Significant",0
"ENSG00000101307.16","SIRPB1",1,1,0,1,1,7564,"Not_Significant",0
"ENSG00000204149.13","AGAP6",1,1,0,1,1,7565,"Not_Significant",0
"ENSG00000136167.15","LCP1",1,1,0,1,1,7566,"Not_Significant",0
"ENSG00000211647.1","IGLV5-48",1,1,0,1,1,7567,"Not_Significant",0
"ENSG00000232729.8","AC211433.1",1,1,0,1,1,7568,"Not_Significant",0
"ENSG00000228060.3","PABPC4-AS1",1,1,0,1,1,7569,"Not_Significant",0
"ENSG00000271580.1","AL583832.1",1,1,0,1,1,7570,"Not_Significant",0
"ENSG00000135318.12","NT5E",2,1,1,1,1,7571,"Not_Significant",0
"ENSG00000254415.3","SIGLEC14",1,1,0,1,1,7572,"Not_Significant",0
"ENSG00000232334.1","AL683842.1",1,1,0,1,1,7573,"Not_Significant",0
"ENSG00000241360.2","PDXP",2,1,1,1,1,7574,"Not_Significant",0
"ENSG00000134545.14","KLRC1",1,1,0,1,1,7575,"Not_Significant",0
"ENSG00000258673.1","LINC01397",1,1,0,1,1,7576,"Not_Significant",0
"ENSG00000160883.11","HK3",1,1,0,1,1,7577,"Not_Significant",0
"ENSG00000136531.18","SCN2A",1,1,0,1,1,7578,"Not_Significant",0
"ENSG00000234515.1","PPP1R2P1",1,1,0,1,1,7579,"Not_Significant",0
"ENSG00000218336.9","TENM3",1,1,0,1,1,7580,"Not_Significant",0
"ENSG00000279500.1","AC108704.2",1,1,0,1,1,7581,"Not_Significant",0
"ENSG00000230481.2","IGKV1OR22-5",1,1,0,1,1,7582,"Not_Significant",0
"ENSG00000233892.1","PAIP1P1",1,1,0,1,1,7583,"Not_Significant",0
"ENSG00000179253.3","AL162457.1",1,1,0,1,1,7584,"Not_Significant",0
"ENSG00000251301.7","LINC02384",1,1,0,1,1,7585,"Not_Significant",0
"ENSG00000182574.8","CSGALNACT2P1",1,1,0,1,1,7586,"Not_Significant",0
"ENSG00000177294.7","FBXO39",1,1,0,1,1,7587,"Not_Significant",0
"ENSG00000174680.10","GRIK1-AS1",1,1,0,1,1,7588,"Not_Significant",0
"ENSG00000115267.8","IFIH1",1,1,0,1,1,7589,"Not_Significant",0
"ENSG00000287023.1","AC018978.1",1,1,0,1,1,7590,"Not_Significant",0
"ENSG00000028277.21","POU2F2",1,1,0,1,1,7591,"Not_Significant",0
"ENSG00000178175.12","ZNF366",1,1,0,1,1,7592,"Not_Significant",0
"ENSG00000188501.11","LCTL",1,1,0,1,1,7593,"Not_Significant",0
"ENSG00000100314.4","CABP7",1,1,0,1,1,7594,"Not_Significant",0
"ENSG00000178562.18","CD28",2,1,1,1,1,7595,"Not_Significant",0
"ENSG00000203747.12","FCGR3A",1,1,0,1,1,7596,"Not_Significant",0
"ENSG00000257270.1","AL928654.2",1,1,0,1,1,7597,"Not_Significant",0
"ENSG00000127241.18","MASP1",3,1,2,1,1,7598,"Not_Significant",0
"ENSG00000106624.11","AEBP1",1,1,0,1,1,7599,"Not_Significant",0
"ENSG00000042062.13","RIPOR3",1,1,0,1,1,7600,"Not_Significant",0
"ENSG00000254838.5","GVINP1",1,1,0,1,1,7601,"Not_Significant",0
"ENSG00000197565.16","COL4A6",1,1,0,1,1,7602,"Not_Significant",0
"ENSG00000265182.1","SRP72P1",1,1,0,1,1,7603,"Not_Significant",0
"ENSG00000287735.1","AL355075.6",1,1,0,1,1,7604,"Not_Significant",0
"ENSG00000221968.9","FADS3",2,1,1,1,1,7605,"Not_Significant",0
"ENSG00000240505.9","TNFRSF13B",2,1,1,1,1,7606,"Not_Significant",0
"ENSG00000278811.4","LINC00624",1,1,0,1,1,7607,"Not_Significant",0
"ENSG00000261241.7","LINC02128",1,1,0,1,1,7608,"Not_Significant",0
"ENSG00000243290.3","IGKV1-12",1,1,0,1,1,7609,"Not_Significant",0
"ENSG00000267197.1","AC011461.1",1,1,0,1,1,7610,"Not_Significant",0
"ENSG00000149557.14","FEZ1",2,1,1,1,1,7611,"Not_Significant",0
"ENSG00000165168.8","CYBB",1,1,0,1,1,7612,"Not_Significant",0
"ENSG00000277218.1","AL139123.1",1,1,0,1,1,7613,"Not_Significant",0
"ENSG00000136114.17","THSD1",1,1,0,1,1,7614,"Not_Significant",0
"ENSG00000107742.13","SPOCK2",1,1,0,1,1,7615,"Not_Significant",0
"ENSG00000211745.3","TRBV4-2",1,1,0,1,1,7616,"Not_Significant",0
"ENSG00000250548.7","LINC01303",1,1,0,1,1,7617,"Not_Significant",0
"ENSG00000286828.1","AC008883.3",1,1,0,1,1,7618,"Not_Significant",0
