"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000215023.2","ENSG00000196754.13","ENSG00000226476.6","ENSG00000160471.13","ENSG00000178752.16"
"ENSG00000258010.4","ENSG00000106128.19","ENSG00000236347.1","ENSG00000228709.1","ENSG00000029559.7"
"ENSG00000137825.11","ENSG00000179292.5","ENSG00000286486.1","ENSG00000128710.6","ENSG00000237372.4"
"ENSG00000125823.12","ENSG00000277883.1","ENSG00000227579.6","ENSG00000286614.1","ENSG00000262406.3"
"ENSG00000138316.11","ENSG00000196337.12","ENSG00000284700.1","ENSG00000255151.2","ENSG00000257763.1"
"ENSG00000162891.10","ENSG00000134668.12","ENSG00000088992.18","ENSG00000196604.13","ENSG00000257114.3"
"ENSG00000064787.13","ENSG00000174899.12","ENSG00000104237.11","ENSG00000076382.17","ENSG00000229754.1"
"ENSG00000258647.6","ENSG00000006611.17","ENSG00000178776.5","ENSG00000256037.1","ENSG00000100985.7"
"ENSG00000172156.4","ENSG00000104140.7","ENSG00000060718.22","ENSG00000287424.1","ENSG00000251151.2"
"ENSG00000170075.9","ENSG00000035499.13","ENSG00000238178.7","ENSG00000175063.17","ENSG00000151388.11"
"ENSG00000273415.3","ENSG00000235385.2","ENSG00000286540.1","ENSG00000231971.6","ENSG00000204262.14"
"ENSG00000196132.14","ENSG00000263893.2","ENSG00000254560.6","ENSG00000138823.13","ENSG00000244306.11"
"ENSG00000186086.18","ENSG00000196890.4","ENSG00000262768.2","ENSG00000256694.1","ENSG00000282780.1"
"ENSG00000077327.16","ENSG00000171246.6","ENSG00000287862.1","ENSG00000260644.6","ENSG00000257636.6"
"ENSG00000165474.8","ENSG00000254973.2","ENSG00000104760.17","ENSG00000119946.11","ENSG00000189238.6"
"ENSG00000162004.18","ENSG00000074211.14","ENSG00000254166.3","ENSG00000035499.13","ENSG00000172061.9"
"ENSG00000184937.16","ENSG00000174607.11","ENSG00000272328.1","ENSG00000125726.11","ENSG00000285600.1"
"ENSG00000123201.14","ENSG00000123243.15","ENSG00000155918.8","ENSG00000100985.7","ENSG00000147896.3"
"ENSG00000105388.16","ENSG00000121904.17","ENSG00000286042.1","ENSG00000110427.17","ENSG00000170965.10"
"ENSG00000101098.13","ENSG00000248635.1","ENSG00000251350.2","ENSG00000077152.11","ENSG00000267284.2"
"ENSG00000273802.2","ENSG00000153347.10","ENSG00000182352.8","ENSG00000101670.12","ENSG00000253755.1"
"ENSG00000234703.1","ENSG00000075891.22","ENSG00000285601.1","ENSG00000204516.10","ENSG00000087116.16"
"ENSG00000277022.1","ENSG00000233017.3","ENSG00000283098.2","ENSG00000088325.16","ENSG00000248240.1"
"ENSG00000180596.7","ENSG00000205847.6","ENSG00000277559.1","ENSG00000087494.16","ENSG00000149380.12"
"ENSG00000120094.9","ENSG00000095752.7","ENSG00000144452.15","ENSG00000129195.16","ENSG00000181355.21"
"ENSG00000243635.1","ENSG00000189325.7","ENSG00000288571.1","ENSG00000106484.16","ENSG00000102195.10"
"ENSG00000235304.2","ENSG00000099953.10","ENSG00000181085.15","ENSG00000255143.1","ENSG00000287055.1"
"ENSG00000167749.11","ENSG00000137251.16","ENSG00000106536.21","ENSG00000240204.3","ENSG00000168542.16"
"ENSG00000131650.14","ENSG00000019505.8","ENSG00000137745.12","ENSG00000110680.13","ENSG00000249001.5"
"ENSG00000176092.16","ENSG00000007306.15","ENSG00000280997.1","ENSG00000196584.3","ENSG00000006377.11"
"ENSG00000236283.5","ENSG00000171346.16","ENSG00000228705.2","ENSG00000196155.13","ENSG00000231346.5"
"ENSG00000218690.2","ENSG00000169427.8","ENSG00000110680.13","ENSG00000163673.7","ENSG00000187608.10"
"ENSG00000132681.17","ENSG00000080293.10","ENSG00000214748.2","ENSG00000024526.17","ENSG00000133636.11"
