"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000005421.9","25","5","3654","1062","688","2822","20","671","1204","129","28672","15413","26057","10232","16045","18869","20961","25107","21460"
"ENSG00000005436.14","534","454","760","765","790","926","554","687","929","702","488","332","515","473","431","436","779","785","541"
"ENSG00000005448.17","638","1661","446","1123","378","598","2046","500","461","1630","37","76","68","55","102","96","51","57","46"
"ENSG00000005469.12","607","419","655","1681","1500","1030","448","1449","2083","743","1244","717","1147","1369","856","994","1909","1569","1315"
"ENSG00000005471.19","125","22","2210","573","34","728","19","674","59","66","6389","3307","7783","2630","3948","2914","5503","7724","6273"
"ENSG00000005483.21","2924","866","2903","1697","3079","5249","2645","5341","5290","1862","672","598","766","759","1022","871","985","1028","577"
"ENSG00000005486.17","5249","6364","4651","6064","2395","3175","5776","6101","9001","3984","2002","1650","2480","1407","2014","2103","2323","2847","2079"
"ENSG00000005513.10","201","38","39","67","53","48","18","27","65","13","0","31","10","2","11","8","9","1","6"
"ENSG00000005700.15","1585","1526","4904","2100","1796","2990","2071","1894","4295","3354","2012","1483","5746","1810","2441","1715","3586","4762","2769"
"ENSG00000005801.18","994","682","841","1304","3986","1737","944","1517","867","487","242","194","240","219","399","283","305","310","186"
"ENSG00000005810.18","2320","461","1395","704","1563","2069","1884","1363","3476","1166","690","466","874","576","713","664","1083","1036","919"
"ENSG00000005812.11","1895","647","1139","430","1029","1389","1473","1372","3197","1080","778","625","1237","1157","986","871","921","1111","1127"
"ENSG00000005844.19","1531","311","926","310","1054","1303","505","481","905","1474","507","1089","698","1013","761","1216","748","631","553"
"ENSG00000005882.12","807","353","984","866","1085","909","761","1521","2732","443","1125","823","1401","1160","1027","981","1127","1918","680"
"ENSG00000005884.18","31943","1862","45342","25638","3746","2094","23967","9082","4027","32624","150","218","214","221","785","491","146","221","198"
"ENSG00000005889.16","1126","470","1711","688","1460","2171","1142","1947","4070","660","495","479","966","712","570","548","979","1359","404"
"ENSG00000005893.16","10291","14494","20037","18938","13897","23308","29936","17305","32370","12071","11340","5722","9060","8810","9285","8140","11042","13007","9916"
"ENSG00000005961.19","43","50","33","84","198","112","67","45","15","6","13","10","4","8","11","3","6","5","12"
"ENSG00000005981.13","10","1","29","3","5","27","16","22","101","1","106","19","72","86","89","55","135","80","36"
"ENSG00000006007.12","2778","635","2586","3485","1356","1724","4972","1726","2394","2423","684","573","1002","562","744","799","1217","1223","582"
"ENSG00000006015.18","1302","2711","691","2363","1589","1277","2344","1484","1385","1460","1134","843","715","969","949","1070","1065","950","950"
"ENSG00000006016.11","529","89","94","97","76","240","208","49","87","53","3","58","11","2","34","26","3","4","4"
"ENSG00000006025.12","1006","440","500","1698","1899","339","831","1370","283","341","55","110","43","57","158","105","44","70","56"
"ENSG00000006042.12","2389","3427","1004","3419","6465","5208","618","4133","3248","1516","853","710","341","684","958","816","175","397","845"
"ENSG00000006047.13","48","44","6","6","167","3","3","8","201","6","70","62","54","30","111","18","42","114","29"
"ENSG00000006059.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000006062.17","681","760","654","1116","1296","1949","2630","3397","964","676","237","320","1533","515","482","364","379","521","499"
"ENSG00000006071.15","13","8","1","436","20","9","2","25","712","12","25","2","2","2","6","9","1","7","5"
"ENSG00000006116.4","1","5","0","0","0","1","0","3","3","1","0","0","0","2","3","0","1","0","0"
"ENSG00000006118.15","6401","4123","7447","27570","1473","2581","40453","21961","765","8022","33","61","45","25","341","78","37","33","54"
"ENSG00000006125.18","8553","8600","14492","13830","10515","11128","16773","11594","13458","12033","1949","1798","2298","1903","2562","2333","2632","2512","2096"
"ENSG00000006128.12","11","0","0","0","1","8","4","0","0","0","1","1","3","0","1","4","5","0","1"
"ENSG00000006194.10","1478","2346","1732","1785","1687","1857","1707","1349","2107","1125","476","422","624","487","584","533","563","578","471"
"ENSG00000006210.7","14233","14455","4754","930","4991","3059","3889","10921","1567","2773","928","1065","4010","1070","1432","1006","1378","1389","648"
"ENSG00000006282.21","2083","9000","9452","10910","6659","8367","9220","9775","5651","2217","1790","1538","1549","883","1897","1648","981","2632","1875"
