"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000278224.7","2","1","41","5","4","5","12","2","9","5","1","5","1","7","4","7","2","3","1","5","2"
"ENSG00000278226.1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","11","0"
"ENSG00000278231.1","4","2","2","3","9","3","7","3","14","2","1","3","3","2","3","5","4","2","9","12","0"
"ENSG00000278233.1","0","11","0","0","0","0","1","0","2","0","0","0","1","0","0","1","0","0","7","0","1"
"ENSG00000278234.1","1","1","0","2","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","3","1"
"ENSG00000278236.1","0","0","0","1","3","5","6","0","2","3","0","1","0","0","0","1","3","3","0","1","4"
"ENSG00000278237.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278238.1","4","142","16","39","24","25","32","14","37","18","16","13","0","4","1","8","6","5","3","9","51"
"ENSG00000278239.1","1","2","1","0","4","6","0","2","9","0","0","0","0","5","2","2","0","2","0","125","2"
"ENSG00000278242.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278249.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278250.1","2","0","9","6","12","12","13","2","17","12","3","2","3","4","10","6","4","1","0","22","5"
"ENSG00000278254.4","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","41","0"
"ENSG00000278255.1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","6","3","1","3","0"
