"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000215252.11","1756","646","1571","502","2674","3960","2095","586","844","825","240","678","770","1471","1467","2393","1250","2256","710","1592","445"
"ENSG00000215256.4","4194","1348","1696","870","1041","2359","1422","554","1426","1100","763","793","858","1205","1314","1528","953","1628","1187","1194","3681"
"ENSG00000215262.8","0","3","0","6","0","1","19","0","3","1","1","1","0","0","1","7","0","0","0","46","0"
"ENSG00000215263.2","1","1","0","0","2","4","0","2","1","1","0","2","0","0","0","0","1","1","0","22","1"
"ENSG00000215264.4","2","28","2","0","8","6","10","7","7","13","6","9","6","1","5","4","5","8","3","8","3"
"ENSG00000215267.8","4","8","0","4","7","22","67","9","5","14","1","4","0","0","1","1","0","5","0","5","2"
"ENSG00000215268.3","5","0","1","1","2","1","0","1","3","2","1","1","0","0","1","1","0","1","0","7","0"
"ENSG00000215269.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215270.3","52","24","10","5","71","142","102","35","11","30","1","13","0","3","1","5","0","9","4","34","4"
"ENSG00000215271.9","567","3156","1119","2545","1076","1184","1944","448","1166","986","1375","972","685","1135","1089","1180","689","1540","902","1126","2297"
"ENSG00000215274.5","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","6","0","4","0"
"ENSG00000215277.8","5","23","7","17","10","15","21","5","14","3","2","4","10","24","33","42","18","12","23","68","12"
"ENSG00000215278.4","1","1","0","0","0","0","2","2","0","0","0","0","0","0","1","0","1","1","0","4","0"
"ENSG00000215283.3","20","11","37","24","51","18","31","8","16","11","12","45","16","7","23","11","26","36","8","50","24"
"ENSG00000215284.2","10","7","1","7","13","19","4","8","7","8","12","10","4","5","3","3","2","8","2","11","5"
"ENSG00000215286.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"ENSG00000215288.5","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0"
"ENSG00000215296.10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","21","0"
"ENSG00000215297.3","4","4","4","4","6","5","1","0","7","5","2","1","0","2","4","2","3","7","0","14","2"
"ENSG00000215301.11","30089","21530","20228","27519","42671","38271","30333","15501","34908","25820","16763","21409","6600","11705","16923","14829","23927","38899","7257","13380","19785"
"ENSG00000215302.8","32","28","54","52","51","30","71","36","25","21","24","26","17","32","34","35","9","82","28","52","34"
"ENSG00000215304.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0"
"ENSG00000215305.10","1402","1706","2025","1271","3148","4190","1663","1518","1872","1693","1180","982","685","889","1165","1095","801","1564","762","1190","1773"
"ENSG00000215310.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000215311.3","6","7","4","1","2","2","3","8","2","7","6","7","2","5","0","3","1","4","5","11","1"
"ENSG00000215313.3","2","7","6","3","4","1","5","5","5","12","9","14","4","3","3","3","2","6","1","9","3"
"ENSG00000215317.2","1","0","1","0","1","0","0","2","0","0","0","0","0","0","2","0","2","0","0","4","0"
"ENSG00000215319.2","11","10","6","13","10","17","11","19","21","26","9","13","7","11","12","8","10","13","8","11","12"
"ENSG00000215325.4","2","9","9","0","2","6","1","2","6","0","3","6","6","6","6","8","4","0","7","7","6"
"ENSG00000215326.3","5","1","2","1","5","4","4","6","1","5","8","12","1","3","0","0","2","5","5","11","4"
"ENSG00000215333.3","5","5","9","1","15","11","2","3","21","14","3","5","0","9","3","0","0","2","1","26","2"
"ENSG00000215339.3","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000215343.7","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215347.4","24","8","6","3","5","61","16","4","15","19","5","4","6","3","18","26","6","9","19","17","11"
"ENSG00000215349.2","38","32","12","16","11","13","26","19","14","23","17","29","4","12","7","13","3","23","15","16","18"
"ENSG00000215351.3","0","6","1","1","1","1","0","4","3","1","3","3","0","1","2","1","0","0","1","6","0"
"ENSG00000215353.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215354.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215356.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"ENSG00000215357.2","3","0","1","2","0","1","0","0","30","1","0","0","1","0","1","2","0","1","0","48","0"
"ENSG00000215367.10","37","25","0","0","0","0","0","8","0","28","2","0","3","6","8","13","13","5","5","12","2"
"ENSG00000215368.5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000215369.3","0","9","0","4","0","1","1","0","0","1","1","1","0","1","0","0","0","1","2","2","0"
"ENSG00000215371.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000215372.6","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","25","0"
"ENSG00000215373.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215374.6","80","48","10","74","88","202","115","121","71","1","49","23","37","46","79","34","127","247","27","35","88"
"ENSG00000215375.6","337","232","276","994","304","1590","252","207","565","260","483","477","216","320","445","458","283","562","160","350","234"
"ENSG00000215378.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215380.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"ENSG00000215381.3","11","5","3","5","8","6","3","6","10","5","19","16","1","2","1","2","2","4","5","17","5"
"ENSG00000215386.13","102","181","43","929","56","62","485","257","248","13","404","359","67","102","532","190","732","1604","66","490","33"
"ENSG00000215388.3","75","37","58","37","147","348","80","26","33","38","28","36","9","37","35","50","14","27","21","42","55"
"ENSG00000215397.4","0","1","0","0","1","0","6","2","1","1","0","0","0","0","3","2","0","0","3","2","1"
"ENSG00000215398.11","0","0","0","0","0","3","36","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"ENSG00000215399.2","0","1","0","0","0","1","0","0","0","0","3","0","0","2","0","0","5","13","1","5","0"
"ENSG00000215403.1","2","0","1","1","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","5","0"
"ENSG00000215409.4","9","0","0","9","3","4","0","2","4","1","0","0","0","0","2","5","0","5","0","13","4"
"ENSG00000215414.4","21","63","13","19","30","41","20","42","32","44","32","39","5","21","9","14","17","26","19","12","30"
"ENSG00000215417.13","168","131","205","49","733","1235","173","57","123","632","31","103","62","131","99","69","161","121","35","195","102"
"ENSG00000215418.2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0"
"ENSG00000215421.9","1499","651","1210","1139","1224","1727","2063","665","1732","2321","620","917","415","688","886","752","1105","2602","404","1797","2492"
"ENSG00000215424.10","929","71","615","228","484","934","861","115","264","402","125","196","74","189","256","294","151","352","89","355","730"
"ENSG00000215440.12","249","430","548","422","673","1609","653","541","441","268","294","394","186","272","427","447","326","689","205","407","255"
"ENSG00000215441.3","12","0","2","1","7","3","9","0","6","5","2","2","1","2","2","5","2","2","0","7","10"
"ENSG00000215444.2","8","10","3","2","3","22","3","1","2","12","0","1","0","0","2","4","2","0","0","14","9"
"ENSG00000215448.3","0","0","0","0","0","0","6","1","3","0","0","0","0","0","0","0","1","0","0","5","0"
"ENSG00000215450.2","17","18","11","67","18","26","52","11","164","14","35","32","8","21","23","19","9","3","15","99","106"
"ENSG00000215452.5","0","0","0","2","1","0","0","0","0","0","0","0","3","4","3","4","0","0","3","2","0"
"ENSG00000215454.6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000215455.4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"ENSG00000215456.6","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","0","0","3","0"
"ENSG00000215457.5","4","1","0","2","0","5","0","4","3","0","6","7","0","0","2","2","1","2","5","8","1"
"ENSG00000215458.8","116","67","73","548","64","89","487","70","198","42","237","817","36","98","159","67","56","72","14","54","626"
"ENSG00000215464.4","20","20","9","10","8","5","7","17","8","19","15","33","8","1","4","13","7","14","6","10","7"
"ENSG00000215467.2","9","16","6","3","5","13","5","13","8","3","17","11","7","2","3","6","5","14","9","51","9"
"ENSG00000215472.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215474.8","1","1","1","1","0","1","0","0","2","1","0","0","0","0","0","0","0","0","1","14","0"
"ENSG00000215475.5","2","0","0","18","12","11","8","3","24","0","23","1","1","1","6","0","5","5","1","118","2"
"ENSG00000215477.2","2","0","0","0","0","0","1","0","1","2","1","0","0","0","0","1","2","0","0","9","0"
"ENSG00000215478.8","3","0","0","1","0","1","64","0","3","2","0","0","2","0","1","3","0","7","2","14","0"
"ENSG00000215480.4","0","1","0","1","0","3","0","0","1","1","0","0","0","1","0","1","0","1","2","11","1"
"ENSG00000215481.9","8","0","5","2","2","7","8","1","10","6","0","1","1","1","1","3","2","2","0","8","0"
"ENSG00000215482.3","23","11","10","2","23","16","14","6","24","9","10","7","5","7","6","10","5","24","6","28","16"
"ENSG00000215483.11","7","32","8","21","98","133","54","39","483","11","14","7","18","23","21","29","47","96","32","194","15"
"ENSG00000215486.5","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","5","0"
"ENSG00000215492.6","130","131","65","44","153","138","101","55","151","87","74","173","49","89","51","61","36","187","43","65","51"
"ENSG00000215493.3","42","28","51","39","115","170","316","25","95","43","26","27","23","48","97","72","37","129","23","93","104"
"ENSG00000215498.9","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","5","0"
"ENSG00000215506.5","2","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","5","0"
"ENSG00000215507.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215512.9","2","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","15","0"
"ENSG00000215515.2","3","3","2","1","16","25","26","2","4","10","1","0","0","0","3","2","0","3","0","14","6"
"ENSG00000215520.3","1","0","0","0","1","1","3","0","2","0","3","5","0","0","1","2","0","1","0","1","0"
"ENSG00000215529.12","47","5","21","5","33","96","9","9","20","17","1","2","4","10","8","6","7","11","7","361","13"
"ENSG00000215533.8","2","0","2","0","8","5","2","11","3","2","0","0","1","0","3","1","0","6","4","2","2"
"ENSG00000215537.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215540.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215544.6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"ENSG00000215545.1","2","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0"
"ENSG00000215546.2","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","2","0","0","2","0"
"ENSG00000215547.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000215548.2","75","152","9","117","45","76","128","13","12","6","15","4","11","21","79","58","14","44","26","12","12"
"ENSG00000215553.3","9","7","5","3","12","6","4","0","16","22","4","5","2","8","5","2","1","1","3","6","4"
"ENSG00000215559.8","47","0","2","521","186","8","3","0","16","0","1042","230","17","5","64","14","100","29","9","96","8"
"ENSG00000215560.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215562.2","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","0","3","0"
"ENSG00000215567.5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"ENSG00000215568.9","1","1","0","0","2","0","1","1","2","0","0","2","1","0","4","0","3","0","0","9","0"
"ENSG00000215571.5","20","5","2","8","19","19","17","9","16","9","8","11","1","6","12","3","9","18","5","40","1"
"ENSG00000215572.2","6","5","1","2","4","7","1","4","7","3","4","7","4","4","2","1","1","1","4","82","11"
"ENSG00000215580.11","3","19","8","19","2","7","0","9","1","13","15","1","33","24","2","4","55","59","43","35","7"
"ENSG00000215583.3","1","0","1","0","0","4","1","0","2","0","0","0","0","0","0","0","0","1","0","2","2"
"ENSG00000215586.2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","2","1","0"
"ENSG00000215589.3","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0"
"ENSG00000215595.2","21","2","67","27","38","26","4","10","18","8","17","28","0","4","6","9","4","9","9","43","61"
"ENSG00000215601.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000215603.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215604.3","0","0","1","1","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2"
"ENSG00000215606.4","4","3","2","0","3","10","0","0","9","5","3","0","0","3","2","2","2","1","1","77","2"
"ENSG00000215612.8","0","8","0","6","0","0","6","88","2","0","4","2","0","2","1","27","1","1","1","0","0"
"ENSG00000215630.6","30","9","28","5","28","27","67","14","62","25","9","22","27","24","55","33","46","87","13","33","32"
"ENSG00000215644.10","20","0","5","5","19","3","140","1","3","0","2","18","0","4","3","1","13","8","0","25","0"
"ENSG00000215692.2","4","0","13","2","0","3","1","0","1","2","1","6","0","0","1","0","1","2","1","0","7"
"ENSG00000215695.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215704.10","12","43","5","8","16","22","47","12","15","5","2","6","4","7","7","11","9","23","2","54","9"
"ENSG00000215712.11","754","1896","1372","707","1022","420","1007","663","750","958","529","503","378","608","722","703","628","1588","592","985","1121"
"ENSG00000215717.7","2793","2673","2984","2788","2015","2611","3480","1700","3176","1947","1578","1722","2170","2240","3349","2813","2829","5631","2121","2832","2676"
"ENSG00000215720.4","12","54","5","5","11","20","10","4","8","18","2","1","3","5","12","8","11","2","2","105","18"
"ENSG00000215734.3","2","20","0","0","1","0","0","0","3","2","0","0","0","1","3","0","0","0","0","1","0"
"ENSG00000215760.2","1","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","4","0","12","0"
"ENSG00000215765.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","7","0"
"ENSG00000215769.8","115","170","112","218","336","80","70","77","152","89","104","111","24","58","89","55","40","99","47","84","179"
"ENSG00000215771.2","3","0","4","9","2","2","1","1","6","3","3","3","6","6","9","6","2","2","3","27","4"
"ENSG00000215784.6","63","93","107","30","99","194","101","23","84","135","13","12","1","30","13","9","4","21","2","49","49"
"ENSG00000215785.2","5","0","6","4","1","3","3","1","3","1","0","0","1","2","2","4","2","3","0","40","13"
"ENSG00000215788.11","1661","2430","472","1091","1641","2502","2421","511","941","719","648","1161","46","96","271","232","124","455","77","1141","226"
"ENSG00000215790.8","166","168","297","216","262","711","832","147","639","122","154","80","114","321","332","433","301","269","171","282","912"
"ENSG00000215795.2","20","11","4","5","25","125","17","3","40","6","5","6","7","15","26","23","5","14","11","53","44"
"ENSG00000215796.3","12","4","14","1","6","35","35","7","17","16","3","6","3","10","8","11","9","25","4","14","23"
"ENSG00000215800.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000215802.3","2","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
"ENSG00000215805.3","1","0","0","0","1","0","1","0","0","3","1","0","0","1","0","0","1","0","0","14","0"
"ENSG00000215807.4","6","3","4","2","13","13","1","4","11","13","3","14","6","5","7","2","1","1","6","16","3"
"ENSG00000215808.4","386","404","0","27","1","4","3001","156","21","2","5","240","3","3","17","48","1","27","3","16","0"
"ENSG00000215811.6","5","1","3","1","1","1","2","2","2","0","0","1","0","1","0","0","1","7","3","8","19"
"ENSG00000215812.5","0","4","2","2","8","58","1","1","5","4","2","0","1","3","1","5","1","9","1","27","3"
"ENSG00000215817.7","36","43","29","19","45","82","68","23","35","34","20","32","23","15","19","42","3","49","18","54","37"
"ENSG00000215819.3","0","0","1","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","1","0","2"
"ENSG00000215833.3","31","24","1","1","3","25","39","6","2","29","2","3","0","2","0","2","0","1","0","26","3"
"ENSG00000215834.10","0","6","9","162","12","4","33","0","12","6","101","85","0","18","2","3","0","0","1","9","0"
"ENSG00000215835.2","87","59","45","32","56","51","80","48","86","64","44","98","16","23","32","40","25","95","25","47","57"
"ENSG00000215837.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215838.4","7","6","1","5","5","10","21","4","9","3","0","1","0","0","0","3","1","3","0","139","3"
"ENSG00000215840.3","23","54","19","26","18","58","35","61","42","25","36","55","5","12","21","19","13","42","9","58","46"
"ENSG00000215841.3","4","3","10","13","6","39","9","3","1","0","8","3","2","0","4","2","0","0","0","1","1"
"ENSG00000215845.11","887","2202","1136","1369","1026","465","1200","500","1006","847","1384","1039","605","608","760","841","392","291","830","637","1557"
"ENSG00000215846.6","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","5","0"
"ENSG00000215853.3","0","193","0","2248","8","3","102","48","42","0","2681","2137","2","5","9","1","0","0","12","1","0"
"ENSG00000215859.9","30","48","23","12","78","189","119","14","23","51","11","17","38","33","46","85","42","38","19","110","31"
"ENSG00000215861.6","28","52","13","21","107","22","13","59","49","14","21","21","22","16","71","28","305","386","43","29","12"
"ENSG00000215864.6","7","1","0","1","3","3","1","2","19","9","0","1","0","1","0","1","0","2","0","124","2"
"ENSG00000215866.8","11","97","36","5","29","58","21","4","15","43","4","3","1","1","1","6","3","4","1","117","33"
"ENSG00000215867.4","13","21","18","10","16","42","44","15","29","25","9","14","3","30","35","18","67","29","13","139","16"
"ENSG00000215869.4","19","0","1","0","3","1","120","1","4","1","0","1","2","15","12","0","0","1","4","30","1"
"ENSG00000215871.2","0","2","0","1","2","2","0","1","3","2","0","0","1","1","0","1","0","2","0","21","1"
"ENSG00000215873.2","0","1","1","2","0","3","4","0","3","3","1","2","2","2","2","0","2","1","0","2","1"
"ENSG00000215874.3","0","0","2","94","3","0","24","0","18","0","40","26","0","0","0","0","0","0","0","3","0"
"ENSG00000215875.4","2","2","0","76","15","2","18","8","22","2","22","20","1","2","1","5","1","0","3","43","1"
"ENSG00000215878.3","1","5","1","3","1","6","6","1","5","5","1","2","0","0","2","4","2","3","3","17","3"
"ENSG00000215881.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"ENSG00000215883.10","892","105","932","335","522","1220","1126","243","653","914","232","138","304","372","548","591","519","786","213","1055","937"
"ENSG00000215887.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0"
"ENSG00000215893.3","0","0","1","0","2","4","5","1","4","3","1","2","0","4","5","4","2","3","0","2","4"
"ENSG00000215895.4","77","75","14","25","61","93","36","46","82","34","35","66","50","89","88","59","14","35","42","48","50"
"ENSG00000215899.3","17","12","5","6","14","3","2","18","9","10","17","17","3","14","5","12","4","19","3","9","12"
"ENSG00000215900.4","1","3","1","1","1","1","1","3","4","1","3","2","0","1","0","0","0","4","2","8","2"
"ENSG00000215905.4","0","0","0","0","1","0","0","2","2","2","1","1","1","0","1","0","0","0","1","9","0"
"ENSG00000215906.8","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","24","0"
"ENSG00000215908.10","600","1341","1049","612","1380","4076","3650","774","1576","1330","634","452","534","959","1340","1206","1001","1853","784","1761","1782"
"ENSG00000215909.3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0"
"ENSG00000215910.7","2","0","0","2","8","20","1","0","3","0","0","1","2","0","4","2","1","1","0","163","0"
"ENSG00000215912.12","31","2","17","5","14","839","34","5","39","20","14","8","31","33","67","56","44","43","10","80","84"
"ENSG00000215914.4","12","9","12","1","3","17","20","5","0","2","4","0","4","8","14","3","8","13","4","5","12"
"ENSG00000215915.10","49","239","138","110","172","126","188","120","239","86","26","151","48","89","108","357","68","160","186","286","170"
"ENSG00000215930.1","1","0","0","0","2","2","4","0","0","3","0","1","0","2","0","0","0","0","1","1","0"
"ENSG00000215938.3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","12","0"
"ENSG00000215939.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215943.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000215952.1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000215957.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215961.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215966.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000215973.1","2","0","3","0","3","0","2","2","0","0","0","0","1","0","1","1","2","0","1","5","0"
"ENSG00000215991.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0"
"ENSG00000216001.3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000216005.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216009.3","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000216031.1","1","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0"
"ENSG00000216035.1","1","8","6","8","11","25","18","3","11","8","6","8","4","3","5","0","30","24","0","4","9"
"ENSG00000216056.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216058.1","0","7","0","3","0","0","11","4","0","0","0","2","0","0","0","0","0","0","0","1","0"
"ENSG00000216060.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000216064.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216069.1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000216075.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000216077.3","0","0","1","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","2","0"
"ENSG00000216098.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000216099.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0"
"ENSG00000216101.3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216135.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216141.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216171.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000216179.1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
"ENSG00000216191.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"ENSG00000216192.1","0","0","0","1","0","0","0","0","2","0","0","0","1","0","0","0","0","4","0","10","0"
"ENSG00000216195.3","0","1","1","0","5","0","3","1","0","4","1","1","0","0","2","2","1","0","0","0","2"
"ENSG00000216265.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0"
"ENSG00000216285.5","28","112","69","59","50","20","42","49","40","14","105","73","10","15","5","14","8","52","10","22","24"
"ENSG00000216306.3","2","2","6","19","1","3","1","0","2","2","20","3","0","2","2","0","1","1","1","38","1"
"ENSG00000216307.2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","3","0","0","2","3"
"ENSG00000216316.1","7","2","15","2","27","13","5","5","1","6","5","0","5","3","14","1","20","27","3","22","12"
"ENSG00000216324.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"ENSG00000216331.2","1","13","1","4","1","0","0","0","3","4","0","1","0","0","0","0","0","0","0","2","6"
"ENSG00000216347.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ENSG00000216352.1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","21","0"
"ENSG00000216359.1","1","0","0","0","2","0","1","1","1","2","0","0","0","3","1","0","0","0","1","12","0"
"ENSG00000216360.1","3","1","2","3","3","3","6","0","8","5","0","3","1","3","2","3","3","2","0","7","9"
"ENSG00000216364.1","1","0","0","0","0","7","0","0","0","1","0","0","0","1","0","0","0","1","0","3","1"
"ENSG00000216365.2","0","2","1","2","0","3","2","0","6","0","1","1","1","0","0","1","0","3","1","3","0"
"ENSG00000216368.2","6","3","1","3","4","3","1","4","11","9","6","11","2","1","2","7","4","2","3","43","5"
"ENSG00000216378.1","0","1","0","0","0","0","10","1","0","0","1","0","0","0","0","0","0","0","0","11","0"
"ENSG00000216412.4","7","1","2","3","4","7","2","6","7","3","6","11","3","1","2","4","1","6","1","14","2"
"ENSG00000216425.4","2","1","1","0","2","1","0","0","0","3","0","0","0","3","6","0","2","1","3","8","6"
"ENSG00000216436.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000216439.1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0"
"ENSG00000216444.1","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","27","0"
"ENSG00000216471.3","5","0","0","1","1","1","1","0","3","21","1","2","0","5","3","0","1","0","1","26","1"
"ENSG00000216475.1","0","1","2","0","1","0","3","1","2","0","0","0","3","1","1","6","4","10","2","23","0"
"ENSG00000216480.2","6","24","3","10","25","18","5","17","30","7","26","37","15","6","12","15","12","22","21","34","13"
"ENSG00000216490.4","9","26","36","5","33","35","16","12","34","5","3","3","3","3","17","8","10","35","9","64","2"
"ENSG00000216516.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000216518.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ENSG00000216519.2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","11","0"
"ENSG00000216523.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
