"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000167202.11","3410","1626","885","1401","1118","632","2031","1809","2176","2674","3977","2060","1592","3378","4187","2156","1673","3479","3743","3611"
"ENSG00000167207.14","158","66","158","48","33","174","67","128","306","556","84","39","37","122","108","88","79","101","102","166"
"ENSG00000167208.15","603","105","303","103","76","234","53","1098","75","2014","188","143","131","589","334","303","255","182","159","442"
"ENSG00000167210.17","3","6","0","1","4","1","1","2","4","2","3","2","3","7","4","5","6","5","4","23"
"ENSG00000167216.17","40","14","13","5","31","33","50","22","49","36","107","22","71","97","125","77","68","93","83","58"
"ENSG00000167220.12","28","11","22","19","9","16","46","15","18","18","26","29","14","22","32","6","7","38","21","16"
"ENSG00000167232.14","1544","964","787","268","370","371","1845","1111","1227","1017","1886","2049","1709","1767","2409","1224","1326","1992","1769","799"
"ENSG00000167244.21","20","27","4170","9","17","11","7","1","35","19","29","58","18","29","18","13","8","8","37","66"
"ENSG00000167257.11","760","582","310","301","321","241","541","628","690","665","768","565","427","696","847","616","433","619","698","685"
"ENSG00000167258.15","4279","3306","1698","3001","1222","1601","3351","2706","5993","2932","2974","2678","1989","3108","3542","1750","1275","2141","3253","2531"
"ENSG00000167261.14","73","15","18","10","28","33","19","10","24","54","238","153","104","174","247","177","123","251","94","286"
"ENSG00000167264.18","534","464","190","274","454","276","1067","377","847","603","697","430","384","687","987","492","320","480","572","436"
"ENSG00000167272.11","934","497","417","643","516","402","1736","859","941","842","723","909","456","824","1026","976","769","752","810","762"
"ENSG00000167280.17","13718","995","2543","728","1093","1698","4267","3688","7347","2568","2167","1225","1518","2228","2897","1152","913","2684","2238","1283"
"ENSG00000167281.19","23","5","5","0","5","4","25","3","8","5","335","131","68","19","11","1207","7","28","66","3256"
"ENSG00000167283.8","648","670","815","901","813","885","1173","612","873","822","1354","1456","838","1000","1535","1419","1051","1052","1033","831"
"ENSG00000167286.10","267","85","86","88","69","302","46","70","104","396","254","388","242","528","413","692","448","214","166","306"
"ENSG00000167291.16","5611","2880","1272","2754","2215","2209","3976","2066","8084","3671","3213","1727","1053","1988","2544","1362","883","1471","2847","2987"
"ENSG00000167302.11","662","124","289","201","202","202","701","289","543","291","311","357","177","281","386","210","150","534","318","198"
"ENSG00000167306.20","4910","6503","2111","4157","1444","1398","9975","6749","4339","4409","11639","16194","7425","9103","16338","6091","4621","8637","10973","4199"
"ENSG00000167311.14","10","1","7","10","1","21","24","3","3","54","7","4","4","6","7","13","7","8","6","15"
"ENSG00000167315.18","2881","4873","1171","1387","1867","1444","6024","2778","3998","731","19912","14901","13619","8429","26141","11675","8023","10276","9466","4738"
"ENSG00000167323.11","1771","1326","962","1487","1494","1146","2306","1999","2505","1931","7153","3973","4567","5147","7092","3676","3022","5093","4978","3244"
"ENSG00000167325.15","3275","2784","1585","2409","1692","2335","3858","2712","3451","3498","3256","2515","1532","3510","4859","2470","1811","1948","3384","2786"
"ENSG00000167332.9","112","26","12","16","19","3","13","12","49","4","128","15","42","185","41","91","26","39","98","136"
"ENSG00000167333.13","1283","632","489","558","403","223","1223","833","726","837","1172","414","563","1100","1436","1015","816","831","1078","1056"
"ENSG00000167346.7","3","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167355.8","1","0","0","0","0","0","3","3","0","0","1","4","1","0","0","0","0","1","0","1"
"ENSG00000167359.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167360.6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000167363.14","1304","1381","576","442","598","571","1583","2224","1997","1855","2096","2421","914","1664","1986","1514","887","1540","2146","1165"
"ENSG00000167371.21","84","7","18","3","14","30","130","56","88","89","181","86","160","88","156","84","74","252","202","172"
"ENSG00000167377.18","55","9","19","9","13","8","64","30","55","22","27","11","34","29","33","15","10","42","41","25"
"ENSG00000167378.8","1736","1022","1029","682","646","720","1914","1323","1997","1380","1567","1234","778","1053","1575","585","438","1032","1383","1152"
