"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000256311.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000256312.1","0","0","1","8","9","11","5","2","2","3","0","3","3","4","2","0","0","2","1","0","1"
"ENSG00000256314.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"ENSG00000256315.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256321.6","89","0","0","1","0","0","0","0","3","1","0","0","0","0","1","1","1","0","0","1","0"
"ENSG00000256325.1","1","5","8","3","4","2","1","0","0","0","0","0","2","0","0","2","0","1","0","1","0"
"ENSG00000256331.1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000256338.2","53","58","73","32","120","101","22","49","18","31","34","79","41","48","11","49","70","23","54","24","27"
"ENSG00000256339.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256340.8","7","15","31","1","0","13","23","2","96","2","4","45","28","10","42","9","17","13","13","19","40"
"ENSG00000256341.1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256343.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256346.1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256347.1","0","2","0","0","2","0","20","2","4","1","0","1","0","0","0","2","0","1","2","3","0"
"ENSG00000256349.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256350.1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256351.1","5","1","0","1","5","1","0","2","3","2","0","0","0","0","1","1","0","0","3","2","2"
"ENSG00000256353.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256355.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256356.1","2","3","15","9","5","6","7","4","12","1","2","3","2","3","0","3","3","4","2","2","12"
"ENSG00000256357.1","1","30","7","4","0","5","0","9","50","0","11","0","3","7","0","0","0","1","13","1","0"
"ENSG00000256358.1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000256361.1","1","1","0","3","3","3","0","2","1","1","5","1","7","3","0","1","1","3","4","0","2"
"ENSG00000256362.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256364.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256371.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256372.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256374.2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ENSG00000256377.6","3","4","2","3","46","8","3","4","4","26","18","3","4","15","3","5","1","3","1","7","6"
"ENSG00000256378.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256379.2","0","4","1","1","2","0","0","16","4","4","89","2","8","6","0","0","0","6","3","3","0"
"ENSG00000256381.1","2","1","0","0","0","5","5","0","0","0","0","0","3","0","0","0","0","0","0","1","0"
"ENSG00000256385.1","0","1","3","1","1","1","1","1","0","0","4","1","1","0","0","1","1","0","2","0","0"
"ENSG00000256389.2","0","0","0","0","0","0","0","44","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000256393.1","288","517","248","147","751","642","1113","560","167","239","576","1266","657","1774","231","492","684","210","440","331","283"
"ENSG00000256394.3","0","0","1","0","0","0","0","0","19","2","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256399.1","0","4","8","4","3","0","0","0","1","1","4","0","0","0","0","2","0","0","1","0","0"
"ENSG00000256400.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256403.1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256407.2","1","1","2","2","1","2","0","1","1","2","11","4","5","0","8","5","1","3","1","7","1"
"ENSG00000256417.1","0","0","0","0","0","1","0","0","0","2","6","0","5","2","0","0","0","0","0","0","1"
"ENSG00000256420.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ENSG00000256422.6","1","1","6","1","0","0","0","0","0","0","0","0","0","4","3","1","0","0","0","0","1"
"ENSG00000256424.2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256427.2","2","6","3","3","1","1","0","5","7","14","9","7","15","2","3","13","10","4","5","2","3"
"ENSG00000256433.3","72","76","38","15","49","26","54","39","23","41","105","56","59","23","7","53","25","33","73","63","48"
"ENSG00000256436.1","2","12","17","2","7","7","3","8","6","1","33","11","17","7","0","14","11","10","11","10","8"
"ENSG00000256440.1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000256441.1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0"
"ENSG00000256442.2","10","1","2","0","0","0","1","0","0","0","2","0","1","0","0","0","0","1","0","1","0"
"ENSG00000256443.1","78","49","94","19","38","345","39","88","187","3","31","31","57","49","0","6","0","13","46","22","11"
"ENSG00000256448.5","3","7","1","0","5","5","4","3","1","6","3","2","0","0","0","2","1","2","0","2","1"
"ENSG00000256450.1","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","2","0","2","0","2"
"ENSG00000256452.1","5","2","7","4","7","15","2","1","2","2","6","7","8","0","0","0","1","2","3","4","2"
"ENSG00000256453.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256458.1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256462.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256463.8","0","3","1","2","0","3","12","14","18","6","1","1","1","2","2","1","0","0","0","0","1"
"ENSG00000256464.1","6","9","9","4","3","0","6","9","3","4","7","12","7","6","4","1","1","3","5","8","8"
"ENSG00000256465.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256469.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"ENSG00000256473.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ENSG00000256474.1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256480.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256481.1","1","1","4","0","2","1","0","0","3","0","0","0","0","0","2","0","1","0","0","0","0"
"ENSG00000256482.1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000256484.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256494.1","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","1"
"ENSG00000256496.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000256499.2","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","3"
"ENSG00000256500.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256502.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256504.2","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256508.2","1","3","0","1","1","0","0","2","1","6","8","19","13","12","32","3","7","27","13","19","23"
"ENSG00000256512.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256513.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","0","0","0","13"
"ENSG00000256514.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256518.3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256525.8","806","892","819","646","443","898","243","659","700","382","564","647","614","347","177","240","236","245","477","456","289"
"ENSG00000256533.1","0","10","0","1","4","5","3","5","2","1","8","6","7","4","0","1","0","1","1","2","2"
"ENSG00000256537.5","2140","1624","2716","790","852","2278","1265","1205","559","817","945","1528","1491","1230","1004","991","799","807","895","1309","1209"
"ENSG00000256538.2","2","2","1","2","2","12","3","6","1","4","0","4","11","4","11","4","3","1","8","7","6"
"ENSG00000256540.1","32","27","108","86","93","25","69","53","35","29","5","9","18","5","70","2","19","51","10","13","42"
"ENSG00000256542.2","0","0","0","0","0","7","0","0","0","0","0","2","1","0","0","0","0","1","0","3","0"
"ENSG00000256546.2","13","5","2","22","3","9","1","4","23","37","11","14","19","4","13","5","9","14","13","17","8"
"ENSG00000256551.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256552.2","1","7","10","1","1","4","1","6","3","2","0","13","7","8","1","3","1","1","10","2","5"
"ENSG00000256553.1","1","8","0","10","6","2","14","17","15","30","0","2","6","3","4","9","0","1","16","2","8"
"ENSG00000256557.1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2"
"ENSG00000256560.1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256563.2","4","3","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","1"
"ENSG00000256564.1","1","2","1","0","2","0","2","1","0","1","8","1","4","9","2","1","4","4","0","1","2"
"ENSG00000256566.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256568.2","0","1","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256569.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256571.1","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256574.8","1","6","0","0","2","4","3","1","2","8","7","0","6","0","1","2","0","2","4","0","1"
"ENSG00000256576.2","45","47","64","34","59","212","40","164","98","97","65","82","75","60","34","46","6","34","69","56","19"
"ENSG00000256577.2","0","0","0","1","3","0","0","0","0","0","0","4","2","0","0","1","1","1","1","0","0"
"ENSG00000256581.1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0"
"ENSG00000256582.1","7","4","0","2","1","3","1","1","1","13","0","0","1","0","0","2","0","2","0","0","1"
"ENSG00000256588.1","4","2","3","3","2","1","0","4","0","1","12","8","3","0","1","1","0","4","4","0","2"
"ENSG00000256589.2","0","0","4","1","0","2","1","0","1","1","0","3","0","0","2","0","0","0","1","2","0"
"ENSG00000256590.2","0","2","0","0","0","0","0","3","2","0","0","1","1","1","4","1","7","0","0","0","1"
"ENSG00000256591.5","64","69","15","19","13","31","38","13","21","15","13","13","13","12","1","23","4","12","24","12","9"
"ENSG00000256594.8","69","111","51","51","103","110","57","160","73","117","91","121","91","79","29","44","50","38","70","61","41"
"ENSG00000256596.1","1","4","1","1","3","7","7","6","4","4","0","5","3","13","2","2","9","8","5","3","2"
"ENSG00000256597.3","1","0","0","2","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256603.1","2","2","3","2","0","3","0","2","2","1","3","2","0","0","0","0","0","0","1","2","0"
"ENSG00000256609.1","0","9","3","2","1","1","2","0","0","0","7","0","1","0","1","1","1","1","3","1","1"
"ENSG00000256612.7","269454","188","3434","23095","43122","2320","79","14198","14803","169","334","164","306","720","24","112","20","111","82","301","82"
"ENSG00000256614.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256615.1","0","1","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","2","0","0"
"ENSG00000256616.3","19","27","92","79","49","57","61","173","18","52","121","35","45","26","24","98","15","35","25","58","38"
"ENSG00000256618.2","17","2","214","5","8","4","2","5","5","0","1","2","2","245","4","0","12","0","0","100","9"
"ENSG00000256625.1","15","11","11","3","5","6","2","12","5","4","0","6","17","1","0","2","0","2","6","4","6"
"ENSG00000256626.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256627.1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256628.3","196","216","279","174","134","153","122","125","140","171","155","164","186","152","113","101","137","148","138","185","146"
"ENSG00000256630.1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","3","1","0","0","0"
"ENSG00000256632.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256633.1","10","33","1","11","4","9","14","8","7","14","5","7","2","0","1","7","1","6","4","14","10"
"ENSG00000256637.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256640.1","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000256642.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256643.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256646.8","0","1","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"ENSG00000256650.1","74","50","50","14","42","53","23","14","7","2","44","42","61","9","1","6","2","13","47","21","9"
"ENSG00000256651.1","1","0","0","0","5","2","0","3","1","0","1","0","6","0","0","0","0","5","5","2","0"
"ENSG00000256654.4","0","3","0","2","0","0","13","13","0","5","53","12","13","62","9","17","2","13","19","17","8"
"ENSG00000256657.1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000256658.1","2","0","0","1","2","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0"
"ENSG00000256659.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256660.6","6","2","4","1","2","2","0","1","2","11","3","4","3","0","0","3","3","1","5","2","3"
"ENSG00000256661.1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000256663.1","36","15","80","64","16","85","15","30","82","31","11","6","2","10","3","1","0","4","23","10","2"
"ENSG00000256664.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256667.6","386","133","255","85","123","324","135","114","34","68","203","195","278","77","45","125","65","80","182","123","100"
"ENSG00000256670.1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
"ENSG00000256671.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256672.1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","2","0","0","0"
"ENSG00000256673.1","10","27","3","5","13","3","6","20","10","5","7","39","18","19","28","23","33","12","29","12","22"
"ENSG00000256674.1","0","0","0","0","0","0","2","1","1","0","3","0","0","1","0","1","0","2","0","0","0"
"ENSG00000256678.1","0","46","7","1","0","4","0","5","0","0","0","1","1","0","2","0","0","0","4","0","0"
"ENSG00000256681.1","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"ENSG00000256682.2","2","1","0","0","1","6","9","1","1","0","10","4","7","0","0","1","0","0","2","0","0"
"ENSG00000256683.7","865","1100","2580","879","957","1677","1038","930","1403","387","645","1166","1035","740","279","453","304","401","774","671","494"
"ENSG00000256684.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256686.1","7","0","0","2","0","0","0","0","12","0","0","0","0","0","0","0","0","0","2","0","0"
"ENSG00000256690.1","4","6","5","2","3","5","14","0","6","2","3","0","3","1","0","4","2","4","5","6","4"
"ENSG00000256691.1","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256694.1","33","22","59","54","41","15","33","38","20","33","2","3","9","0","80","7","25","33","8","2","25"
"ENSG00000256695.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256699.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256704.3","7","0","1","0","1","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1"
"ENSG00000256705.3","0","5","3","2","1","9","2","2","1","10","6","2","2","3","2","5","2","3","1","5","3"
"ENSG00000256706.1","1","4","0","1","1","1","0","3","3","5","0","0","0","0","0","1","0","0","0","1","1"
"ENSG00000256708.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256709.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256712.1","0","0","1","0","1","1","0","0","0","2","0","2","2","0","3","1","0","0","0","0","0"
"ENSG00000256713.8","0","0","0","0","1","0","5","0","0","0","0","3","5","0","15","8","5","26","1","15","5"
"ENSG00000256714.1","0","0","0","0","0","0","0","0","0","10","0","1","2","0","0","0","0","1","0","0","0"
"ENSG00000256717.1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000256720.1","1","3","4","2","0","3","4","9","4","15","0","4","3","0","0","1","2","1","2","1","2"
"ENSG00000256721.1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256723.1","1","3","1","2","2","1","0","2","1","3","17","5","1","4","0","1","0","0","0","4","2"
"ENSG00000256732.1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","1","0"
"ENSG00000256733.2","0","2","0","1","1","4","0","1","4","0","0","0","1","0","0","0","0","0","1","0","0"
"ENSG00000256734.1","4","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000256737.1","1","2","4","1","0","1","1","0","1","0","1","2","1","0","0","1","0","1","0","0","1"
"ENSG00000256739.1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
"ENSG00000256742.1","7","5","20","4","3","6","2","4","11","12","1","10","9","16","0","7","1","6","9","5","5"
"ENSG00000256745.1","20","4","22","19","8","13","6","6","21","7","13","7","10","12","9","6","9","3","5","6","18"
"ENSG00000256746.5","4","4","1","2","2","4","0","2","5","0","0","2","4","2","0","0","0","0","2","0","0"
"ENSG00000256747.1","0","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256748.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256750.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256751.6","384","792","126","121","1219","262","470","97","195","217","184","358","311","87","244","283","155","262","246","331","442"
"ENSG00000256752.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256756.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256757.1","1","1","0","3","1","2","0","3","5","0","4","20","16","20","0","5","1","7","8","7","3"
"ENSG00000256762.1","7","12","6","2","2","2","4","6","5","0","0","0","5","0","0","0","0","1","2","1","1"
"ENSG00000256769.1","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256771.4","834","958","1614","1069","1279","1446","951","904","571","353","753","1065","1139","609","245","268","421","419","781","674","360"
"ENSG00000256774.1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256777.1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ENSG00000256779.2","0","2","0","2","1","3","12","6","0","4","10","12","4","0","1","4","4","3","6","5","0"
"ENSG00000256783.1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256789.1","3","4","1","4","0","4","1","1","1","0","0","1","2","0","0","0","0","3","0","2","2"
"ENSG00000256797.1","1","2","0","0","0","0","5","1","3","5","1","0","0","4","0","1","0","2","0","0","0"
"ENSG00000256799.1","0","0","2","0","3","0","0","0","0","0","6","1","0","0","0","0","0","0","1","1","1"
"ENSG00000256802.2","2","4","4","2","19","11","24","5","4","8","18","15","2","5","0","2","0","3","11","4","0"
"ENSG00000256803.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256804.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256806.6","111","89","189","111","37","257","84","175","113","78","181","265","264","219","43","169","31","84","175","148","67"
"ENSG00000256810.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"ENSG00000256811.1","3","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256812.2","4","4","1","0","0","1","3","1","4","425","13","4","2","51","0","3","0","3","5","3","2"
"ENSG00000256813.1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0"
"ENSG00000256814.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0"
"ENSG00000256817.1","1","0","1","0","4","0","2","3","1","2","12","0","3","0","0","0","1","1","3","4","2"
"ENSG00000256824.1","3","0","1","1","3","3","2","0","3","2","0","1","0","7","0","0","0","0","1","1","0"
"ENSG00000256825.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256826.1","10","3","1","1","4","4","3","1","0","2","0","1","1","0","3","1","0","1","2","1","3"
"ENSG00000256827.1","1","3","4","3","4","2","4","3","6","0","6","2","0","0","1","0","9","1","0","1","3"
"ENSG00000256835.1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256837.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256843.1","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256844.1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000256847.1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","1","0"
"ENSG00000256849.1","5","7","10","1","7","1","0","2","9","1","3","5","1","4","1","0","2","4","3","3","9"
"ENSG00000256851.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256852.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000256861.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256862.3","12","24","16","7","15","8","15","35","12","8","14","13","28","11","0","7","2","16","16","12","10"
"ENSG00000256863.1","0","0","2","0","0","0","0","0","1","0","0","0","0","1","0","1","2","2","0","0","3"
"ENSG00000256870.3","0","33","2","193","43","0","0","788","113","244","480","18","44","168","0","10","0","2","5","8","1"
"ENSG00000256875.2","0","0","0","0","0","0","0","1","0","0","0","1","4","0","0","2","0","0","0","0","1"
"ENSG00000256879.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256884.1","0","3","1","0","0","0","0","0","0","0","2","1","0","6","3","1","0","1","1","0","1"
"ENSG00000256888.6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSG00000256892.2","2","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ENSG00000256894.1","3","35","15","16","7","14","35","129","17","37","166","85","161","29","6","54","7","63","94","102","49"
"ENSG00000256896.1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256897.1","8","10","12","16","9","13","2","8","17","4","0","2","9","5","1","2","9","8","1","7","3"
"ENSG00000256898.1","5","0","5","2","4","4","2","2","2","2","7","5","1","1","0","2","1","0","3","1","1"
"ENSG00000256902.1","0","1","1","0","2","1","1","2","1","1","0","0","1","0","0","1","0","2","5","2","0"
"ENSG00000256904.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256906.1","3","0","1","0","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","4","1"
"ENSG00000256912.1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"ENSG00000256913.1","2","4","3","4","3","2","5","14","2","7","4","6","16","1","4","7","1","6","10","4","3"
"ENSG00000256915.2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0"
"ENSG00000256916.1","5","25","8","0","0","176","43","30","7","12","752","504","324","72","0","270","2","156","248","86","25"
"ENSG00000256917.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"ENSG00000256923.1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0"
"ENSG00000256925.3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256928.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000256937.1","0","3","2","5","0","0","2","2","4","6","1","2","2","0","0","1","0","4","0","2","1"
"ENSG00000256940.2","9","5","4","3","4","6","2","1","10","6","0","0","1","6","3","2","0","0","1","3","1"
"ENSG00000256943.1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSG00000256944.1","8","16","61","8","14","10","9","23","28","8","23","30","28","18","17","17","25","17","21","24","14"
"ENSG00000256947.1","0","2","0","0","0","2","0","2","0","0","13","3","4","0","1","0","2","8","4","3","0"
"ENSG00000256948.1","2","3","2","3","6","5","10","3","15","3","0","1","3","1","0","4","0","0","0","1","10"
"ENSG00000256950.2","9","5","0","1","3","1","2","4","0","2","0","1","4","1","0","0","0","1","1","1","1"
"ENSG00000256951.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000256955.2","8","0","1","5","1","0","0","1","8","3","0","0","0","4","1","0","2","0","0","0","0"
"ENSG00000256963.1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
