"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000088992.18","70","450","64","61","92","97","78","122","52","162","2282","418","843","1333","423","450","148","326","737","235","144"
"ENSG00000089006.17","5869","4889","9086","5817","3455","5925","7934","5805","4702","3638","5389","5577","5524","5697","4667","4504","4692","4689","4090","5403","6748"
"ENSG00000089009.15","40609","41927","40488","28883","44922","63179","24689","18967","15978","39544","40521","72849","67778","73246","26244","36674","38882","24898","37962","32860","24981"
"ENSG00000089012.14","36","111","20","95","50","89","277","233","335","610","45","86","74","14","5","23","4","20","141","34","14"
"ENSG00000089022.14","1862","2795","2805","2413","1650","2771","881","1329","1773","1365","2203","2309","2344","1584","846","1616","884","1287","1894","1678","1450"
"ENSG00000089041.17","205","198","339","212","169","157","212","259","726","337","218","311","367","129","53","284","38","210","290","395","254"
"ENSG00000089048.14","1032","1960","1886","1388","1112","1364","784","1892","1191","698","1175","1511","1511","700","458","1143","570","882","1293","1208","1260"
"ENSG00000089050.16","2145","2540","4191","1918","1978","3906","1484","2795","1985","1166","2344","2485","2507","1559","758","1527","597","1311","2017","2061","1699"
"ENSG00000089053.13","7351","9499","8141","8255","5678","9371","4992","4719","6290","5284","7138","7435","8234","6026","3594","5831","2797","4740","6366","7097","5174"
"ENSG00000089057.15","1505","2395","4224","1192","1815","2786","1736","2582","1125","1233","3174","2987","4322","1295","1416","2125","1124","2368","2426","3179","2259"
