"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000145331.14","TRMT10A",1,0,1,1,1,4214,"Not_Significant",0
"ENSG00000275457.1","AL117332.1",1,0,1,1,1,4215,"Not_Significant",0
"ENSG00000110063.10","DCPS",1,0,1,1,1,4216,"Not_Significant",0
"ENSG00000230371.1","KARS1P2",1,0,1,1,1,4217,"Not_Significant",0
"ENSG00000153208.17","MERTK",1,0,1,1,1,4218,"Not_Significant",0
"ENSG00000164741.15","DLC1",1,0,1,1,1,4219,"Not_Significant",0
"ENSG00000185000.12","DGAT1",1,0,1,1,1,4220,"Not_Significant",0
"ENSG00000229808.1","AL391825.1",1,0,1,1,1,4221,"Not_Significant",0
"ENSG00000024862.18","CCDC28A",1,0,1,1,1,4222,"Not_Significant",0
"ENSG00000228705.2","LINC00659",2,1,1,1,1,4223,"Not_Significant",0
"ENSG00000154723.12","ATP5PF",1,0,1,1,1,4224,"Not_Significant",0
"ENSG00000011105.14","TSPAN9",1,0,1,1,1,4225,"Not_Significant",0
"ENSG00000078747.16","ITCH",1,0,1,1,1,4226,"Not_Significant",0
"ENSG00000103449.12","SALL1",1,0,1,1,1,4227,"Not_Significant",0
"ENSG00000119431.9","HDHD3",1,0,1,1,1,4228,"Not_Significant",0
"ENSG00000146373.16","RNF217",1,0,1,1,1,4229,"Not_Significant",0
"ENSG00000089847.12","ANKRD24",1,0,1,1,1,4230,"Not_Significant",0
"ENSG00000136856.18","SLC2A8",1,0,1,1,1,4231,"Not_Significant",0
"ENSG00000276644.5","DACH1",2,1,1,1,1,4232,"Not_Significant",0
"ENSG00000177406.5","NINJ2-AS1",1,0,1,1,1,4233,"Not_Significant",0
"ENSG00000010256.11","UQCRC1",1,0,1,1,1,4234,"Not_Significant",0
"ENSG00000272156.1","AC008280.2",1,0,1,1,1,4235,"Not_Significant",0
"ENSG00000279133.1","AC018628.1",1,0,1,1,1,4236,"Not_Significant",0
"ENSG00000103067.14","ESRP2",1,0,1,1,1,4237,"Not_Significant",0
"ENSG00000165997.5","ARL5B",1,0,1,1,1,4238,"Not_Significant",0
"ENSG00000171067.11","C11orf24",1,0,1,1,1,4239,"Not_Significant",0
"ENSG00000049239.13","H6PD",1,0,1,1,1,4240,"Not_Significant",0
"ENSG00000137806.10","NDUFAF1",1,0,1,1,1,4241,"Not_Significant",0
"ENSG00000008952.17","SEC62",1,0,1,1,1,4242,"Not_Significant",0
"ENSG00000151498.12","ACAD8",2,0,2,1,1,4243,"Not_Significant",0
