"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000253177.2","ENSG00000132840.10","ENSG00000168477.19","ENSG00000188171.16","ENSG00000182508.14"
"ENSG00000013293.6","ENSG00000112293.15","ENSG00000134343.14","ENSG00000272732.1","ENSG00000008394.13"
"ENSG00000156284.6","ENSG00000113790.11","ENSG00000147883.12","ENSG00000007314.12","ENSG00000125246.15"
"ENSG00000256508.2","ENSG00000162460.7","ENSG00000286449.1","ENSG00000225901.1","ENSG00000178467.18"
"ENSG00000185053.14","ENSG00000110243.12","ENSG00000100146.18","ENSG00000234492.4","ENSG00000086544.3"
"ENSG00000174611.12","ENSG00000146233.8","ENSG00000204065.3","ENSG00000279319.1","ENSG00000167861.16"
"ENSG00000158458.21","ENSG00000166819.12","ENSG00000059915.17","ENSG00000134917.10","ENSG00000243566.7"
"ENSG00000134121.10","ENSG00000167711.14","ENSG00000104833.12","ENSG00000278948.1","ENSG00000188573.8"
"ENSG00000177301.16","ENSG00000139194.8","ENSG00000169432.18","ENSG00000211965.4","ENSG00000171766.17"
"ENSG00000280623.1","ENSG00000253821.2","ENSG00000050030.16","ENSG00000112981.5","ENSG00000070081.17"
"ENSG00000279204.1","ENSG00000199488.1","ENSG00000255986.6","ENSG00000170271.11","ENSG00000099864.18"
"ENSG00000258604.1","ENSG00000168306.13","ENSG00000270403.1","ENSG00000206172.8","ENSG00000128016.7"
"ENSG00000145708.11","ENSG00000172497.9","ENSG00000163815.6","ENSG00000185551.15","ENSG00000184845.4"
"ENSG00000188517.16","ENSG00000135423.13","ENSG00000180287.17","ENSG00000198300.14","ENSG00000267421.6"
"ENSG00000259374.2","ENSG00000072315.3","ENSG00000178965.14","ENSG00000206559.8","ENSG00000107281.10"
"ENSG00000226031.5","ENSG00000171560.16","ENSG00000152578.13","ENSG00000166831.9","ENSG00000268104.3"
"ENSG00000188763.5","ENSG00000131183.11","ENSG00000122367.20","ENSG00000168309.18","ENSG00000143867.7"
"ENSG00000228971.3","ENSG00000088926.14","ENSG00000232070.9","ENSG00000270672.1","ENSG00000205502.4"
"ENSG00000189292.16","ENSG00000103154.9","ENSG00000134042.14","ENSG00000265972.6","ENSG00000121413.13"
"ENSG00000136842.14","ENSG00000138030.13","ENSG00000153446.16","ENSG00000203709.12","ENSG00000184254.17"
"ENSG00000282840.1","ENSG00000287440.1","ENSG00000047457.14","ENSG00000164484.12","ENSG00000106686.16"
"ENSG00000068976.14","ENSG00000227117.6","ENSG00000181234.9","ENSG00000239920.2","ENSG00000006747.15"
"ENSG00000253831.3","ENSG00000196553.15","ENSG00000157851.17","ENSG00000169760.17","ENSG00000152931.9"
"ENSG00000164488.12","ENSG00000116761.12","ENSG00000186462.9","ENSG00000249192.1","ENSG00000257084.1"
"ENSG00000165507.9","ENSG00000106633.17","ENSG00000132639.13","ENSG00000237832.1","ENSG00000124839.13"
"ENSG00000231013.2","ENSG00000236497.2","ENSG00000186038.9","ENSG00000227258.6","ENSG00000106688.12"
"ENSG00000152270.9","ENSG00000204099.12","ENSG00000180332.6","ENSG00000115461.5","ENSG00000069702.11"
"ENSG00000248144.6","ENSG00000078898.7","ENSG00000135333.14","ENSG00000210049.1","ENSG00000145911.6"
"ENSG00000234810.4","ENSG00000249746.1","ENSG00000130876.11","ENSG00000225362.10","ENSG00000160460.16"
"ENSG00000235904.3","ENSG00000173531.15","ENSG00000184544.12","ENSG00000283636.1","ENSG00000196353.11"
"ENSG00000281969.1","ENSG00000257906.3","ENSG00000129167.9","ENSG00000255823.5","ENSG00000185015.8"
"ENSG00000226409.3","ENSG00000186480.13","ENSG00000164303.11","ENSG00000128591.16","ENSG00000196502.12"
"ENSG00000213791.4","ENSG00000230435.1","ENSG00000239571.1","ENSG00000256148.1","ENSG00000144655.15"
"ENSG00000279484.2","ENSG00000236341.1","ENSG00000154975.14","ENSG00000119711.13","ENSG00000146090.16"
"ENSG00000158571.11","ENSG00000108515.18","ENSG00000145087.13","ENSG00000131831.18","ENSG00000223254.1"
"ENSG00000165376.11","ENSG00000084674.15","ENSG00000186439.14","ENSG00000133083.15","ENSG00000185275.6"
"ENSG00000285051.2","ENSG00000272430.1","ENSG00000280061.1","ENSG00000172508.10","ENSG00000255650.6"
"ENSG00000164007.11","ENSG00000100362.13","ENSG00000172137.19","ENSG00000177669.4","ENSG00000196542.8"
"ENSG00000117507.6","ENSG00000271732.1","ENSG00000152137.8","ENSG00000271538.6","ENSG00000124249.7"
"ENSG00000143171.13","ENSG00000229484.1","ENSG00000196361.10","ENSG00000235485.1","ENSG00000125648.15"
"ENSG00000105974.13","ENSG00000287956.1","ENSG00000166831.9","ENSG00000110786.18","ENSG00000188037.12"
"ENSG00000154188.10","ENSG00000164120.14","ENSG00000228495.2","ENSG00000135821.19","ENSG00000102934.10"
"ENSG00000109061.10","ENSG00000154262.13","ENSG00000125144.14","ENSG00000198721.13","ENSG00000176153.12"
"ENSG00000127241.18","ENSG00000286398.1","ENSG00000148798.11","ENSG00000185669.6","ENSG00000106351.13"
"ENSG00000169618.7","ENSG00000117594.10","ENSG00000197614.11","ENSG00000271699.5","ENSG00000172201.12"
"ENSG00000149596.7","ENSG00000233377.1","ENSG00000242366.3","ENSG00000187098.17","ENSG00000085871.9"
"ENSG00000125845.7","ENSG00000130203.10","ENSG00000109182.12","ENSG00000248673.2","ENSG00000151729.11"
"ENSG00000080166.16","ENSG00000226798.1","ENSG00000144834.14","ENSG00000119919.11","ENSG00000128311.14"
"ENSG00000228307.2","ENSG00000257715.1","ENSG00000154165.5","ENSG00000205959.4","ENSG00000213860.4"
"ENSG00000227467.3","ENSG00000164188.9","ENSG00000130294.17","ENSG00000271858.5","ENSG00000072201.14"
"ENSG00000143196.5","ENSG00000187193.9","ENSG00000100095.19","ENSG00000216809.1","ENSG00000182836.10"
"ENSG00000182118.8","ENSG00000261469.1","ENSG00000124253.11","ENSG00000164404.8","ENSG00000204991.11"
"ENSG00000095637.22","ENSG00000091831.24","ENSG00000223462.2","ENSG00000274461.2","ENSG00000124749.17"
"ENSG00000111339.12","ENSG00000259670.1","ENSG00000162374.18","ENSG00000123243.15","ENSG00000145335.17"
"ENSG00000280339.1","ENSG00000260733.1","ENSG00000101489.20","ENSG00000137103.20","ENSG00000276855.1"
