"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000163710.9","ENSG00000271681.1","ENSG00000224721.1","ENSG00000157315.5","ENSG00000119915.5"
"ENSG00000133317.16","ENSG00000256863.1","ENSG00000161649.13","ENSG00000105707.14","ENSG00000187492.9"
"ENSG00000166819.12","ENSG00000287316.1","ENSG00000034971.17","ENSG00000239571.1","ENSG00000162896.6"
"ENSG00000172901.20","ENSG00000256847.1","ENSG00000109132.7","ENSG00000269933.1","ENSG00000156076.10"
"ENSG00000173641.18","ENSG00000205358.4","ENSG00000175161.14","ENSG00000145920.15","ENSG00000197748.13"
"ENSG00000287570.1","ENSG00000112246.10","ENSG00000088386.17","ENSG00000139219.19","ENSG00000187288.12"
"ENSG00000214128.11","ENSG00000238099.3","ENSG00000196660.11","ENSG00000259359.2","ENSG00000187905.10"
"ENSG00000163884.4","ENSG00000175003.15","ENSG00000067842.17","ENSG00000257126.6","ENSG00000127318.11"
"ENSG00000286559.1","ENSG00000150656.15","ENSG00000171246.6","ENSG00000283526.1","ENSG00000203985.11"
"ENSG00000198848.13","ENSG00000116882.15","ENSG00000104332.12","ENSG00000259763.2","ENSG00000101441.4"
"ENSG00000000005.6","ENSG00000084110.11","ENSG00000110975.8","ENSG00000140798.16","ENSG00000250803.6"
"ENSG00000181092.10","ENSG00000164089.9","ENSG00000197273.4","ENSG00000184811.4","ENSG00000198488.10"
"ENSG00000260102.2","ENSG00000249173.6","ENSG00000123560.14","ENSG00000130037.5","ENSG00000100012.12"
"ENSG00000167676.4","ENSG00000174992.8","ENSG00000187714.7","ENSG00000232131.1","ENSG00000124664.11"
"ENSG00000124253.11","ENSG00000254607.2","ENSG00000101098.13","ENSG00000146469.13","ENSG00000229453.2"
"ENSG00000224525.2","ENSG00000144852.19","ENSG00000040731.10","ENSG00000105290.13","ENSG00000114638.8"
"ENSG00000152785.8","ENSG00000253357.1","ENSG00000125851.10","ENSG00000279930.1","ENSG00000176136.6"
"ENSG00000254135.3","ENSG00000120907.18","ENSG00000249948.6","ENSG00000130226.17","ENSG00000124939.6"
"ENSG00000115361.8","ENSG00000249364.6","ENSG00000258274.1","ENSG00000275465.7","ENSG00000127324.9"
"ENSG00000198650.11","ENSG00000021461.17","ENSG00000243955.6","ENSG00000034971.17","ENSG00000215187.12"
"ENSG00000165197.5","ENSG00000238097.2","ENSG00000150625.16","ENSG00000164188.9","ENSG00000140297.13"
"ENSG00000167434.10","ENSG00000181656.7","ENSG00000176194.18","ENSG00000164850.15","ENSG00000160180.15"
"ENSG00000278928.1","ENSG00000253813.1","ENSG00000071991.9","ENSG00000188488.14","ENSG00000140835.10"
"ENSG00000206172.8","ENSG00000248884.1","ENSG00000197953.6","ENSG00000255545.8","ENSG00000157765.13"
"ENSG00000164434.12","ENSG00000139445.18","ENSG00000122585.8","ENSG00000287127.1","ENSG00000062096.15"
"ENSG00000254814.1","ENSG00000279372.1","ENSG00000142959.5","ENSG00000144596.13","ENSG00000165269.13"
"ENSG00000182021.10","ENSG00000230921.1","ENSG00000137675.5","ENSG00000165186.12","ENSG00000198848.13"
"ENSG00000122756.15","ENSG00000160097.20","ENSG00000266200.6","ENSG00000282639.1","ENSG00000187889.13"
